visual parameter,value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,ii,label,x,y,bgra,gw_param_keys 1,gw_param_values 1,ii,label,y,x,bgra,gw_param_keys 2,gw_param_values 2,ii,label,x,y,yerr,bgra,gw_param_keys 3,gw_param_values 3,ii,label,x,xerr,y,bgra,gw_param_keys 4,gw_param_values 4,ii,label,x,y,bgra,gw_param_keys 5,gw_param_values 5,ii,label,y,x,bgra,gw_param_keys 6,gw_param_values 6,ii,label,x,y,yerr,bgra,gw_param_keys 7,gw_param_values 7,ii,label,theta,r,bgra,gw_param_keys 8,gw_param_values 8,ii,label,x,y,bgra,gw_param_keys 9,gw_param_values 9,ii,label,x_lower,x,x_upper,y,bgra,gw_param_keys 10,gw_param_values 10,ii,label,y_lower,y,y_upper,x,bgra,gw_param_keys 11,gw_param_values 11,ii,label,x,y_lower,y,y_upper,bgra,gw_param_keys 12,gw_param_values 12,ii,label,x,y,z,gw_param_keys 13,gw_param_values 13,ii,label,x,y,z,class_names
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.655908659924915,,10.344091340075085,50.87626551485367,,,,,,10.682962926469493,,11.317037073530507,56.500869519229795,,,,,,,,,,,,,,,-1.3265306122448979,-4.591836734693878,4.946388224245844,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.658397877177858,,10.341602122822142,51.272316290403595,,,,,,10.681560081060988,,11.318439918939012,56.93430119643038,,,,,,,,,,,,,,,-1.1224489795918364,-4.591836734693878,3.549173995534749,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.661096187585473,,10.338903812414527,51.668367065953504,,,,,,10.680010070666691,,11.319989929333309,57.36773287363097,,,,,,,,,,,,,,,-0.9183673469387754,-4.591836734693878,4.102045964815451,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66396879876662,,10.33603120123338,52.06441784150341,,,,,,10.678302957624515,,11.321697042375485,57.80116455083156,,,,,,,,,,,,,,,-0.7142857142857144,-4.591836734693878,4.280375809541906,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.666978434593394,,10.333021565406606,52.46046861705334,,,,,,10.676430111176835,,11.323569888823165,58.234596228032146,,,,,,,,,,,,,,,-0.5102040816326525,-4.591836734693878,5.309482477669587,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.670085652087973,,10.329914347912027,52.856519392603246,,,,,,10.674384557664482,,11.325615442335518,58.668027905232734,,,,,,,,,,,,,,,-0.3061224489795915,-4.591836734693878,4.384814948570385,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.673249204900095,,10.326750795099905,53.252570168153156,,,,,,10.672161313263478,,11.327838686736522,59.10145958243332,,,,,,,,,,,,,,,-0.1020408163265305,-4.591836734693878,6.235379986988387,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.676426450511224,,10.323573549488776,53.648620943703065,,,,,,10.669757691660484,,11.330242308339516,59.53489125963391,,,,,,,,,,,,,,,0.1020408163265305,-4.591836734693878,5.291942117643007,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.679573797255395,,10.320426202744605,54.04467171925299,,,,,,10.667173579612824,,11.332826420387176,59.96832293683448,,,,,,,,,,,,,,,0.3061224489795915,-4.591836734693878,5.2781865704017115,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.682647186204946,,10.317352813795054,54.4407224948029,,,,,,10.664411674010287,,11.335588325989713,60.40175461403507,,,,,,,,,,,,,,,0.5102040816326534,-4.591836734693878,4.576515209063458,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6856026019721,,10.3143973980279,54.83677327035281,,,,,,10.661477674831415,,11.338522325168585,60.83518629123566,,,,,,,,,,,,,,,0.7142857142857144,-4.591836734693878,3.6574240086563012,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.688396605554676,,10.311603394445324,55.23282404590273,,,,,,10.658380429249748,,11.341619570750252,61.268617968436246,,,,,,,,,,,,,,,0.9183673469387754,-4.591836734693878,3.4022335665347896,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.690986881535537,,10.309013118464463,55.62887482145264,,,,,,10.655132023078151,,11.344867976921849,61.70204964563683,,,,,,,,,,,,,,,1.1224489795918373,-4.591836734693878,4.940543363645602,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.693332791258117,,10.306667208741883,56.02492559700255,,,,,,10.651747816725212,,11.348252183274788,62.13548132283742,,,,,,,,,,,,,,,1.3265306122448983,-4.591836734693878,4.4278931349448705,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.695395923069164,,10.304604076930836,56.42097637255246,,,,,,10.64824642386055,,11.35175357613945,62.56891300003801,,,,,,,,,,,,,,,1.5306122448979593,-4.591836734693878,3.766837231729608,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.697140630365599,,10.302859369634401,56.81702714810238,,,,,,10.644649632029969,,11.355350367970031,63.0023446772386,,,,,,,,,,,,,,,1.7346938775510203,-4.591836734693878,3.0914511035176337,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.698534548021845,,10.301465451978155,57.21307792365229,,,,,,10.640982265511973,,11.359017734488027,63.435776354439184,,,,,,,,,,,,,,,1.9387755102040813,-4.591836734693878,3.690971384773926,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.699549077818828,,10.300450922181172,57.6091286992022,,,,,,10.63727199174954,,11.36272800825046,63.86920803163976,,,,,,,,,,,,,,,2.1428571428571432,-4.591836734693878,5.143913380848668,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7001598337523,,10.2998401662477,58.00517947475211,,,,,,10.633549073711388,,11.366450926288612,64.30263970884035,,,,,,,,,,,,,,,2.3469387755102042,-4.591836734693878,2.9092752010325853,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.700347038567275,,10.299652961432725,58.401230250302035,,,,,,10.629846071521458,,11.370153928478542,64.73607138604093,,,,,,,,,,,,,,,2.5510204081632653,-4.591836734693878,4.0316961383165335,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.70009586354197,,10.29990413645803,58.797281025851944,,,,,,10.626197497630553,,11.373802502369447,65.16950306324152,,,,,,,,,,,,,,,2.755102040816327,-4.591836734693878,3.4913557867373837,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.699396704418582,,10.300603295581418,59.193331801401854,,,,,,10.622639430676383,,11.377360569323617,65.60293474044211,,,,,,,,,,,,,,,2.959183673469388,-4.591836734693878,2.4702242462158712,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.698245387433273,,10.301754612566727,59.58938257695178,,,,,,10.61920909397443,,11.38079090602557,66.0363664176427,,,,,,,,,,,,,,,3.163265306122449,-4.591836734693878,2.8294866025785907,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.69664330061335,,10.30335669938665,59.98543335250169,,,,,,10.615944405288529,,11.384055594711471,66.46979809484328,,,,,,,,,,,,,,,3.36734693877551,-4.591836734693878,2.12802899255435,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.694597446860199,,10.305402553139801,60.381484128051596,,,,,,10.612883505133794,,11.387116494866206,66.90322977204387,,,,,,,,,,,,,,,3.571428571428571,-4.591836734693878,2.5125983105728493,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.692120416792816,,10.307879583207184,60.777534903601506,,,,,,10.610064271352602,,11.389935728647398,67.33666144924446,,,,,,,,,,,,,,,3.775510204081632,-4.591836734693878,2.9429743505458275,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.689230280856092,,10.310769719143908,61.17358567915143,,,,,,10.607523828064707,,11.392476171935293,67.77009312644503,,,,,,,,,,,,,,,3.979591836734695,-4.591836734693878,2.33017037084437,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.685950401765599,,10.314049598234401,61.56963645470134,,,,,,10.605298057314242,,11.394701942685758,68.20352480364562,,,,,,,,,,,,,,,4.183673469387756,-4.591836734693878,2.6425864077737313,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.682309169929406,,10.317690830070594,61.96568723025125,,,,,,10.603421121809626,,11.396578878190374,68.63695648084621,,,,,,,,,,,,,,,4.387755102040817,-4.591836734693878,2.2842032962821732,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.678339666020378,,10.321660333979622,62.36173800580117,,,,,,10.601925007070152,,11.398074992929848,69.0703881580468,,,,,,,,,,,,,,,4.591836734693878,-4.591836734693878,2.3672148375276585,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.674079256332027,,10.325920743667973,62.75778878135108,,,,,,10.600839091049943,,11.399160908950057,69.50381983524738,,,,,,,,,,,,,,,4.795918367346939,-4.591836734693878,1.577258259646808,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.669569127901164,,10.330430872098836,63.15383955690099,,,,,,10.600189748904658,,11.399810251095342,69.93725151244797,,,,,,,,,,,,,,,5.0,-4.591836734693878,1.0693910582391641,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.664853771587275,,10.335146228412725,63.5498903324509,,,,,,10.6,,11.4,70.37068318964856,,,,,,,,,,,,,,,-5.0,-4.387755102040816,3.5964145842659088,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.659980422330431,,10.340019577669569,63.945941108000824,,,,,,10.600289203539829,,11.399710796460171,70.80411486684915,,,,,,,,,,,,,,,-4.795918367346939,-4.387755102040816,3.1826037412118513,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.654998466639405,,10.345001533360595,64.34199188355073,,,,,,10.601072808324753,,11.398927191675247,71.23754654404974,,,,,,,,,,,,,,,-4.591836734693878,-4.387755102040816,4.017575751016276,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.649958827966586,,10.350041172033414,64.73804265910064,,,,,,10.602362161153938,,11.397637838846062,71.67097822125032,,,,,,,,,,,,,,,-4.387755102040816,-4.387755102040816,3.8765060793152215,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.644913340989065,,10.355086659010935,65.13409343465057,,,,,,10.60416437727139,,11.39583562272861,72.10440989845091,,,,,,,,,,,,,,,-4.183673469387755,-4.387755102040816,4.625555028194812,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.639914125924456,,10.360085874075544,65.53014421020048,,,,,,10.606482275055706,,11.393517724944294,72.53784157565148,,,,,,,,,,,,,,,-3.979591836734694,-4.387755102040816,4.677249093498969,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.635012973860693,,10.364987026139307,65.92619498575039,,,,,,10.60931437588482,,11.39068562411518,72.97127325285207,,,,,,,,,,,,,,,-3.7755102040816326,-4.387755102040816,3.863004882232132,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.630260753673255,,10.369739246326745,66.3222457613003,,,,,,10.612654968803584,,11.387345031196416,73.40470493005266,,,,,,,,,,,,,,,-3.571428571428571,-4.387755102040816,4.940165377753906,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.625706850449916,,10.374293149550084,66.71829653685022,,,,,,10.616494238313148,,11.383505761686852,73.83813660725325,,,,,,,,,,,,,,,-3.36734693877551,-4.387755102040816,4.561177514031366,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.621398644458104,,10.378601355541896,67.11434731240013,,,,,,10.620818452319329,,11.379181547680671,74.27156828445383,,,,,,,,,,,,,,,-3.163265306122449,-4.387755102040816,5.497775675492202,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.617381038595948,,10.382618961404052,67.51039808795004,,,,,,10.625610206055486,,11.374389793944514,74.70499996165442,,,,,,,,,,,,,,,-2.9591836734693877,-4.387755102040816,4.723958683405073,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.61369604099406,,10.38630395900594,67.90644886349996,,,,,,10.630848716665565,,11.369151283334435,75.13843163885501,,,,,,,,,,,,,,,-2.7551020408163263,-4.387755102040816,5.35194991746343,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.610382408015418,,10.389617591984582,68.30249963904987,,,,,,10.63651016212542,,11.36348983787458,75.5718633160556,,,,,,,,,,,,,,,-2.5510204081632653,-4.387755102040816,4.425970501653955,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.607475351374582,,10.392524648625418,68.69855041459978,,,,,,10.642568057322379,,11.357431942677621,76.00529499325619,,,,,,,,,,,,,,,-2.3469387755102042,-4.387755102040816,5.808284694608254,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.605006311507855,,10.394993688492145,69.09460119014969,,,,,,10.64899365942788,,11.35100634057212,76.43872667045676,,,,,,,,,,,,,,,-2.142857142857143,-4.387755102040816,6.420751241305041,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.603002797717581,,10.396997202282419,69.4906519656996,,,,,,10.655756394204499,,11.344243605795501,76.87215834765735,,,,,,,,,,,,,,,-1.9387755102040813,-4.387755102040816,6.110540489616941,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.601488294033032,,10.398511705966968,69.88670274124952,,,,,,10.662824294599924,,11.337175705400076,77.30559002485793,,,,,,,,,,,,,,,-1.7346938775510203,-4.387755102040816,5.580062437175425,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.600482228222534,,10.399517771777466,70.28275351679943,,,,,,10.670164442903927,,11.329835557096073,77.73902170205852,,,,,,,,,,,,,,,-1.5306122448979593,-4.387755102040816,4.864005952444282,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,10.4,70.67880429234934,,,,,,10.677743407880683,,11.322256592119317,78.17245337925911,,,,,,,,,,,,,,,-1.3265306122448979,-4.387755102040816,5.255652232603361,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.600053063234116,,10.399946936765884,71.07485506789926,,,,,,10.685527668632693,,11.314472331367307,78.6058850564597,,,,,,,,,,,,,,,-1.1224489795918364,-4.387755102040816,5.759274723996871,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.600649055924544,,10.399350944075456,71.47090584344917,,,,,,10.693484017492361,,11.306515982507639,79.03931673366029,,,,,,,,,,,,,,,-0.9183673469387754,-4.387755102040816,6.283540156695601,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.601791970885818,,10.398208029114182,71.86695661899908,,,,,,10.701579934955397,,11.298420065044603,79.47274841086087,,,,,,,,,,,,,,,-0.7142857142857144,-4.387755102040816,5.567400183262998,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.603482359497173,,10.396517640502827,72.26300739454899,,,,,,10.709783930543955,,11.290216069456045,79.90618008806146,,,,,,,,,,,,,,,-0.5102040816326525,-4.387755102040816,5.453917621315593,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.605717560548834,,10.394282439451166,72.65905817009892,,,,,,10.718065844489903,,11.281934155510097,80.33961176526203,,,,,,,,,,,,,,,-0.3061224489795915,-4.387755102040816,5.377167812545293,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.608491946146861,,10.391508053853139,73.05510894564883,,,,,,10.726397106228934,,11.273602893771066,80.77304344246262,,,,,,,,,,,,,,,-0.1020408163265305,-4.387755102040816,5.147895819546503,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.611797176825048,,10.388202823174952,73.45115972119874,,,,,,10.734750946861753,,11.265249053138247,81.20647511966321,,,,,,,,,,,,,,,0.1020408163265305,-4.387755102040816,5.5489292339176295,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.615622458440807,,10.384377541559193,73.84721049674866,,,,,,10.743102563935008,,11.256897436064992,81.6399067968638,,,,,,,,,,,,,,,0.3061224489795915,-4.387755102040816,5.612025060225963,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.61995479408083,,10.38004520591917,74.24326127229857,,,,,,10.751429238087638,,11.248570761912362,82.07333847406439,,,,,,,,,,,,,,,0.5102040816326534,-4.387755102040816,5.0090577819204505,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.624779225042785,,10.375220774957215,74.63931204784848,,,,,,10.759710402264924,,11.240289597735076,82.50677015126497,,,,,,,,,,,,,,,0.7142857142857144,-4.387755102040816,5.673003209541275,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.630079055956273,,10.369920944043727,75.03536282339839,,,,,,10.767927665291323,,11.232072334708677,82.94020182846556,,,,,,,,,,,,,,,0.9183673469387754,-4.387755102040816,4.3879290296009295,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.635836060218972,,10.364163939781028,75.43141359894831,,,,,,10.776064792586556,,11.223935207413444,83.37363350566615,,,,,,,,,,,,,,,1.1224489795918373,-4.387755102040816,5.042010615348698,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.642030663109017,,10.357969336890983,75.82746437449822,,,,,,10.784107647682951,,11.215892352317049,83.80706518286672,,,,,,,,,,,,,,,1.3265306122448983,-4.387755102040816,5.730307610269442,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.648642101146061,,10.351357898853939,76.22351515004813,,,,,,10.792044098936469,,11.207955901063531,84.24049686006731,,,,,,,,,,,,,,,1.5306122448979593,-4.387755102040816,4.248335426068719,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65564855746586,,10.34435144253414,76.61956592559804,,,,,,10.799863896404503,,11.200136103595497,84.6739285372679,,,,,,,,,,,,,,,1.7346938775510203,-4.387755102040816,5.366863882299398,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.663027274102497,,10.336972725897503,77.01561670114796,,,,,,10.80755852428136,,11.19244147571864,85.10736021446849,,,,,,,,,,,,,,,1.9387755102040813,-4.387755102040816,4.156484538550174,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.670754643098194,,10.329245356901806,77.41166747669787,,,,,,10.815121034533338,,11.184878965466662,85.54079189166907,,,,,,,,,,,,,,,2.1428571428571432,-4.387755102040816,3.9827860765627463,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.678806279247347,,10.321193720752653,77.80771825224778,,,,,,10.82254586746104,,11.17745413253896,85.97422356886966,,,,,,,,,,,,,,,2.3469387755102042,-4.387755102040816,2.998173253696132,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.687157078000123,,10.312842921999877,78.2037690277977,,,,,,10.829828664843395,,11.170171335156605,86.40765524607025,,,,,,,,,,,,,,,2.5510204081632653,-4.387755102040816,4.420563708115691,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.695781262579276,,10.304218737420724,78.59981980334761,,,,,,10.836966081096362,,11.163033918903638,86.84108692327084,,,,,,,,,,,,,,,2.755102040816327,-4.387755102040816,4.405128637339161,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.704652424688406,,10.295347575311594,78.99587057889752,,,,,,10.843955597524754,,11.156044402475246,87.27451860047142,,,,,,,,,,,,,,,2.959183673469388,-4.387755102040816,3.8633554195778985,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.713743563304847,,10.286256436695153,79.39192135444743,,,,,,10.850795344275452,,11.149204655724548,87.707950277672,,,,,,,,,,,,,,,3.163265306122449,-4.387755102040816,3.7498042267772753,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.723027125958943,,10.276972874041057,79.78797212999736,,,,,,10.857483934035333,,11.142516065964667,88.14138195487259,,,,,,,,,,,,,,,3.36734693877551,-4.387755102040816,3.2263657336361224,,,,,,,,
